time,total_mem,dirty,cache,used_mem
0,268600,0,0,0
0,268600,0,0,0
0,268600,0,0,0
0.0,268600,0,0,0
107.52688172043011,268600,0,50000,100000
182.5268817204301,268600,0,50000,100000
182.5268817204301,268600,0,50000,100000
197.67839687194527,268600,50000,100000,150000
197.67839687194527,268600,50000,100000,100000
197.67839687194527,268600,50000,100000,100000
204.72065039307202,268600,50000,100000,150000
279.720650393072,268600,0,100000,150000
279.720650393072,268600,0,100000,150000
294.8721655445871,268600,50000,150000,200000
294.8721655445871,268600,50000,150000,150000
294.8721655445871,268600,50000,150000,150000
301.9144190657139,268600,50000,150000,200000
376.9144190657139,268600,0,150000,200000
376.9144190657139,268600,0,150000,200000
392.065934217229,268600,50000,200000,250000
