time,total_mem,dirty,cache,used_mem
0,268600,0,0,0
0,268600,0,0,0
0,268600,0,0,0
0.0,268600,0,0,0
43.01075268817204,268600,0,20000,40000
71.01075268817203,268600,0,20000,40000
71.01075268817203,268600,0,20000,40000
77.0713587487781,268600,20000,40000,60000
77.0713587487781,268600,20000,40000,40000
77.0713587487781,268600,20000,40000,40000
79.8882601572288,268600,20000,40000,60000
107.8882601572288,268600,20000,40000,60000
107.8882601572288,268600,20000,40000,60000
113.94886621783486,268600,40000,60000,80000
113.94886621783486,268600,40000,60000,60000
113.94886621783486,268600,40000,60000,60000
156.9596189060069,268600,20000.0,60000,80000
184.9596189060069,268600,0.0,60000,80000
184.9596189060069,268600,0.0,60000,80000
191.02022496661297,268600,20000.0,80000,100000
