type,start,end
read,0,161.29032258064515
write,271.2903225806451,294.0175953079179
read,294.0175953079179,304.580975589608
write,414.580975589608,454.4490239222592
read,454.4490239222592,465.0124042039493
write,575.0124042039492,615.9134677342549
