time,total_mem,dirty,cache,used_mem
0,268600,0,0,0
0,268600,0,0,0
0,268600,0,0,0
0.0,268600,0,0,0
161.29032258064515,268600,0,75000,150000
271.2903225806451,268600,0,75000,150000
271.2903225806451,268600,0,75000,150000
294.0175953079179,268600,75000,150000,225000
294.0175953079179,268600,75000,150000,150000
294.0175953079179,268600,75000,150000,150000
304.580975589608,268600,75000,150000,225000
414.580975589608,268600,0,150000,225000
414.580975589608,268600,0,150000,225000
437.30824831688074,268600,75000,193600,268600
437.30824831688074,268600,75000,193600,193600
437.30824831688074,268600,75000,193600,193600
447.87162859857085,268600,75000,193600,268600
557.8716285985709,268600,0,193600,268600
557.8716285985709,268600,0,193600,268600
580.5989013258436,268600,75000,193600,268600
