type,start,end
read,0,215.05376344086022
write,370.0537634408602,460.5116324535679
read,460.5116324535679,474.59613949582143
write,629.5961394958215,793.9543017636612
read,793.9543017636612,871.1431553150771
write,1026.1431553150771,1116.601024327785
