type,start,end
read,0,215.05376344086022
write,370.0537634408602,440.0752688172043
read,440.0752688172043,454.1597758594578
write,609.1597758594578,679.1812812358019
read,679.1812812358019,725.4144268237861
write,880.4144268237861,950.4359322001302
