time,total_mem,dirty,cache,used_mem
0,268600,0,0,0
0,268600,0,0,0
161.29032258064515,268600,0,75000,150000
271.2903225806451,268600,0,75000,150000
294.0175953079179,268600,64431.818181818184,150000,225000
294.0175953079179,268600,64431.818181818184,150000,150000
304.580975589608,268600,59519.84635083227,150000,225000.0
414.580975589608,268600,8369.846350832267,150000,225000.0
437.30824831688074,268600,72801.66453265045,193600.0,268600.0
437.30824831688074,268600,72801.66453265045,193600.0,193600.0
447.87162859857085,268600,67889.69270166453,193600.0,268600.0
557.8716285985709,268600,16739.692701664535,193600.0,268600.0
576.9208103331986,268600,70744.1229193342,193600.0,268600.0
603.0233915713243,268600,70744.1229193342,193600.0,268600.0
