time,total_mem,dirty,cache,used_mem
0,268600,0,0,0
0,268600,0,0,0
107.52688172043011,268600,0,50000,100000
182.5268817204301,268600,0,50000,100000
197.67839687194527,268600,42954.545454545456,100000,150000
197.67839687194527,268600,42954.545454545456,100000,100000
204.72065039307202,268600,39679.89756722151,100000,150000.0
279.720650393072,268600,4804.897567221509,100000,150000.0
294.8721655445871,268600,47759.443021766965,150000,200000.0
294.8721655445871,268600,47759.443021766965,150000,150000.0
301.9144190657139,268600,44484.79513444302,150000,200000.0
376.9144190657139,268600,9609.795134443018,150000,200000.0
392.065934217229,268600,52564.340588988474,200000,250000.0
