time,total_mem,dirty,cache,used_mem
0,15600.0,0,0,0.0
50.0,15600.0,0,6000,12000.0
63.0,15600.0,0,6000,12000.0
65.95384615384616,15600.0,1919.9999999999998,8363.076923076922,14363.076923076922
90.2,15600.0,1919.9999999999998,9600.0,15600.0
92.43880597014926,15600.0,1584.1791044776119,9600.0,15600.0
105.43880597014926,15600.0,0.0,9600.0,15600.0
108.39265212399542,15600.0,1919.9999999999998,9600.0,15600.0
132.63880597014926,15600.0,1919.9999999999998,9600.0,15600.0
145.43880597014928,15600.0,0.0,7920.0,7920.0
165.43880597014928,15600.0,0.0,10320.0,12720.0
166.78208955223883,15600.0,0.0,10320.0,16320.0
179.78208955223883,15600.0,0.0,10320.0,16320.0
182.73593570608497,15600.0,1919.9999999999998,9600.0,15600.0
206.98208955223882,15600.0,1919.9999999999998,9600.0,15600.0
